Student_Name,Subject_Name,Report
Alice Azure,Art,Fail
Alice Azure,Biology,Fail
Alice Azure,Chemistry,Pass
Alice Azure,Computer Science,Fail
Alice Azure,Economics,Pass
Alice Azure,Geography,Fail
Alice Azure,Psychology,Fail
Alice Azure,Sociology,Fail
Alice Beige,Art,Fail
Alice Beige,Chemistry,Fail
Alice Beige,Computer Science,Fail
Alice Beige,Economics,Fail
Alice Beige,English,Fail
Alice Beige,Geography,Fail
Alice Beige,History,Fail
Alice Beige,Mathematics,Fail
Alice Beige,Philosophy,Fail
Alice Beige,Physics,Fail
Alice Beige,Psychology,Fail
Alice Beige,Sociology,Fail
Alice Black,Chemistry,Fail
Alice Black,Computer Science,Fail
Alice Black,English,Fail
Alice Black,Geography,Pass
Alice Black,History,Fail
Alice Black,Mathematics,Fail
Alice Black,Music,Fail
Alice Black,Philosophy,Fail
Alice Black,Psychology,Fail
Alice Black,Statistics,Fail
Alice Blue,Art,Fail
Alice Blue,Biology,Fail
Alice Blue,Chemistry,Fail
Alice Blue,Computer Science,Fail
Alice Blue,Economics,Fail
Alice Blue,English,Fail
Alice Blue,History,Fail
Alice Blue,Mathematics,Fail
Alice Blue,Music,Fail
Alice Blue,Philosophy,Fail
Alice Blue,Physics,Fail
Alice Blue,Psychology,Fail
Alice Blue,Sociology,Fail
Alice Blue,Statistics,Fail
Alice Brown,Biology,Fail
Alice Brown,Chemistry,Fail
Alice Brown,Computer Science,Fail
Alice Brown,Economics,Fail
Alice Brown,English,Fail
Alice Brown,Geography,Pass
Alice Brown,History,Pass
Alice Brown,Mathematics,Fail
Alice Brown,Philosophy,Fail
Alice Brown,Physics,Fail
Alice Brown,Psychology,Fail
Alice Brown,Sociology,Pass
Alice Brown,Statistics,Fail
Alice Cyan,Art,Pass
Alice Cyan,Biology,Fail
Alice Cyan,Chemistry,Fail
Alice Cyan,Computer Science,Fail
Alice Cyan,Economics,Fail
Alice Cyan,English,Pass
Alice Cyan,History,Fail
Alice Cyan,Mathematics,Fail
Alice Cyan,Music,Fail
Alice Cyan,Philosophy,Fail
Alice Cyan,Physics,Fail
Alice Cyan,Sociology,Fail
Alice Cyan,Statistics,Fail
Alice Davis,Art,Fail
Alice Davis,Chemistry,Fail
Alice Davis,Computer Science,Fail
Alice Davis,Economics,Fail
Alice Davis,History,Fail
Alice Davis,Mathematics,Fail
Alice Davis,Music,Fail
Alice Davis,Physics,Fail
Alice Davis,Psychology,Fail
Alice Davis,Statistics,Pass
Alice Gray,Art,Pass
Alice Gray,Biology,Fail
Alice Gray,Chemistry,Fail
Alice Gray,Computer Science,Fail
